,name,field,grade,url
237236,(주)아모레퍼시픽,인사·노무·교육,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237236
237240,한국항공우주산업(주),해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237240
237241,한미약품(주),구매·자재,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237241
237245,애경산업(주),인사·노무·교육,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237245
237288,서울특별시농수산식품공사,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237288
237289,㈜현대바이오랜드,해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237289
237307,㈜BGF리테일,영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237307
237326,(주)IBK시스템,웹프로그래머,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237326
237327,(주)유니드글로벌상사,수출입·무역사무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237327
236960,현대오일뱅크(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236960
236962,롯데케미칼(주),생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236962
236967,한국남부발전(주),전기·소방·통신·안전,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236967
236969,GS칼텍스(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236969
236971,삼성엔지니어링,화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236971
237021,(주)웹젠,네트워크·서버·보안,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237021
237026,GS네오텍(주),네트워크·서버·보안,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237026
237032,코리아세븐,제품·서비스영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237032
237037,NH선물㈜,인사·노무·교육,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237037
237044,삼성전자(주),반도체·디스플레이,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237044
237048,네이버(주),응용프로그래머,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237048
237049,현대엠엔소프트(주),빅데이터·AI(인공지능),4,https://www.jobkorea.co.kr/starter/PassAssay/View/237049
237050,롯데IT테크(주),빅데이터·AI(인공지능),3,https://www.jobkorea.co.kr/starter/PassAssay/View/237050
237052,만도,빅데이터·AI(인공지능),4,https://www.jobkorea.co.kr/starter/PassAssay/View/237052
237053,현대오토에버㈜,빅데이터·AI(인공지능),3,https://www.jobkorea.co.kr/starter/PassAssay/View/237053
237059,코미코,전기·전자·제어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237059
237060,엘지디스플레이,생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237060
237061,현대오일뱅크(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237061
237064,LG에너지솔루션,생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237064
237065,(주)넥센,생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237065
237066,SK이노베이션(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237066
