,name,field,grade,url
237371,(주)유니드글로벌상사,해외영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237371
237354,(주)경동나비엔,영업지원,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237354
237379,(주)이랜드건설,현장관리자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237379
237358,(주)이랜드리테일,제품영업,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237358
237378,(주)넥슨네트웍스,인사담당자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237378
237355,(주)포스코모빌리티솔루션,영업지원,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237355
237366,(주)부산롯데호텔,인사담당자,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237366
237356,국가철도공단,전기기사,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237356
237388,㈜호반건설,현장관리자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237388
237390,코오롱글로벌,현장관리자,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237390
237393,현대엔지니어링(주),현장관리자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237393
237461,한국철도공사,전기·전자엔지니어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237461
237464,(주)한독,품질관리자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237464
237466,국립공원공단,전기·전자엔지니어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237466
237467,한국남동발전(주),전기·전자엔지니어,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237467
237468,한국가스공사,전기·전자엔지니어,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237468
237469,(주)한국가스기술공사,전기·전자엔지니어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237469
237474,(주)카카오,앱개발자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237474
237475,웹케시(주),웹개발자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237475
237478,네이버,앱개발자,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237478
